	1	2	3	4	5	6	7	8	9	10	11	12	13	15	16	17	18	19	20	21	22	23
Date Time	DeC2FeedFlow.m	DeC2AmbTemp.m	DeC2FeedTemp.m	DeC2OvhdPress.m	DeC2ProdPress.m	DeC2ProdTemp.m	DeC2OvhdTemp.m	DeC2RefTemp.m	DeC2Tr39Temp.m	% C3 IN C2 COMP	DeC2Tr9Temp.m	DeC2Tr1Temp.m	DeC2RebAVapTemp.m	DeC2BtmTempA.m	DeC2BtmTempB.m	DeC2RefFlow.m	DeC2ProdFlow.m	DeC2RebSteamA.m	DeC2RebSteamB.m	DeC2BtmFlow.m	DeC2TopDeltaP.m	DeC2Bott.DeltaP.m
Date Time	10f010.pv	11T0030.PV	10T0003.PV	10p012.pv	10P020.PV	10T0015.PV	10T0009.PV	10T0010.PV	10T013.PV	10A100C3.PV	10T014.PV	10T0006.PV	10T0002.PV	10T0004.PV	10T0005.PV	10f015.pv	10F016.PV	10f012.pv	10f021.pv	10fz013.pv	10P010.pv	10P011.pv
8/13/2004 17:05	8.71227169	96.85902405	201.1164093	384.9815979	379.0339355	41.54051208	47.52415848	43.47117615	79.70690918	1.504562616	131.1001434	181.0869141	198.9824371	201.5058594	204.3922729	6.0158391	4973.627441	92.80632782	92.9866333	5422.132324	1.446565032	2.205224514
8/13/2004 17:10	8.711241722	96.94566345	200.9366302	384.9770203	379.0703735	41.56688309	47.57909012	43.61149216	79.69737244	1.504562497	131.0116272	180.8945618	198.9549866	201.4587555	204.419754	5.987035751	4926.73291	92.04173279	92.9362793	5426.767578	1.44287169	2.203562021
8/13/2004 17:15	8.700719833	97.31345367	200.6705627	384.9682922	379.1068726	41.59325027	47.63402176	43.65857697	79.68783569	1.506057382	130.9231262	181.3729553	199.0953369	201.1803436	204.4472198	5.980651379	4951.918457	92.27147675	92.88591766	5448.04541	1.444070339	2.202072859
8/13/2004 17:20	8.700933456	96.77297211	200.5496979	384.9595642	379.1294556	41.61961746	47.6889534	43.70566559	79.7151947	1.513718009	130.7090607	181.2787781	199.148056	201.5090637	204.4747009	5.992889404	4944.299805	92.47947693	92.83556366	5398.48291	1.445269108	2.200583696
8/13/2004 17:25	8.700814247	96.75771332	201.0404053	384.9508362	379.1294861	41.58916473	47.64391327	43.25364304	79.74951935	1.513718009	130.7629089	181.1846008	199.2008057	201.0660706	204.3662567	6.028108597	4967.129395	93.86654663	92.81777954	5367.89209	1.446467757	2.199094296
8/13/2004 17:30	8.711691856	96.74246216	200.9710083	384.9455872	379.1294861	42.02093506	47.59776688	43.71473312	79.78385162	1.510727286	130.8167725	181.0692596	199.25354	201.8670044	204.3962402	6.016170025	5005.64502	93.81999969	92.82359314	5312.710938	1.447369576	2.197873116
8/13/2004 17:35	8.714621544	96.72720337	200.9016113	384.9559937	379.1294861	42.02093506	47.61204529	43.68003845	79.81819153	1.510666251	131.1905365	181.3735809	199.3062744	201.9164429	204.426178	6.013489246	4976.698242	92.25975037	92.82939148	5390.813965	1.446918726	2.197873116
8/13/2004 17:40	8.700338364	96.71193695	200.8322296	384.9663696	379.1294861	41.75066757	47.66698074	43.64533997	79.8525238	1.510666251	131.1810608	181.0769348	199.3342285	201.5897217	204.4561615	6.015759945	4939.158203	93.04863739	92.83519745	5423.221191	1.446467996	2.197873116
8/13/2004 17:45	8.702963829	96.73189545	201.1056213	384.9768066	379.1311035	41.424366	47.72191238	43.61064529	79.89810944	1.510666251	131.1340027	181.1867981	199.3078766	201.6424866	204.9553528	6.020789146	4936.254883	92.58591461	92.84099579	5405.437012	1.446017265	2.197873116
8/13/2004 17:50	8.717307091	96.19895172	200.4200745	384.9871826	379.1353149	41.58916473	47.77685165	43.20749664	79.85964966	1.508299589	131.0869446	181.2966766	199.2814941	201.6952362	204.3313141	6.023777485	4951.537598	93.49841309	92.77994537	5392.309082	1.445566535	2.197873116
