	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
Date Time	DeC2FeedFlow.m	DeC2AmbTemp.m	DeC2FeedTemp.m	DeC2OvhdPress.m	DeC2ProdPress.m	DeC2ProdTemp.m	DeC2OvhdTemp.m	DeC2RefTemp.m	DeC2Tr39Temp.m	DeC2Tr9Temp.m	DeC2Tr1Temp.m	DeC2RebAVapTemp.m	DeC2BtmTempA.m	DeC2BtmTempB.m	DeC2RefFlow.m	DeC2ProdFlow.m	DeC2RebSteamA.m	DeC2RebSteamB.m	DeC2BtmFlow.m	DeC2TopDeltaP.m	DeC2Bott.DeltaP.m	% C3 IN C2 COMP
Date Time	10f010.pv	11T0030.PV	10T0003.PV	10p012.pv	10P020.PV	10T0015.PV	10T0009.PV	10T0010.PV	10T013.PV	10T014.PV	10T0006.PV	10T0002.PV	10T0004.PV	10T0005.PV	10f015.pv	10F016.PV	10f012.pv	10f021.pv	10fz013.pv	10P010.pv	10P011.pv	10A100C3.PV
8/1/2004 2:25	8.009109497	93.79841614	200.255249	385.2557373	378.9050903	40.2085762	44.07104874	42.36635971	66.04724121	130.3141327	181.6140289	198.4053802	200.8170471	203.4761047	6.251890182	5090.959961	90.36339569	90.10569	4971.074707	1.567022562	2.092409372	0.817819774
8/1/2004 2:30	7.990575314	93.92430115	200.7628479	385.2338867	378.980835	40.29647064	43.71224976	42.35053635	65.94042206	130.9070129	181.7082062	198.5289917	200.8902893	204.0423737	6.243173599	5241.879883	90.8188858	89.37628937	4711.578613	1.556011915	2.083521128	0.82705158
8/1/2004 2:35	7.896450996	94.15935516	200.7892151	385.1703186	379.0874634	40.38436127	44.10400391	41.96556473	64.72640228	132.0078125	181.8023834	198.6525879	201.253952	204.5617065	6.257881641	4969.414063	88.62556458	88.64689636	4666.866211	1.545001268	2.07463336	0.764717519
8/1/2004 2:40	7.799127102	93.60778046	200.3146057	385.10672	379.1940613	40.35975647	43.47117996	42.09740829	62.68166351	131.8857422	181.5718842	198.8160095	201.0891418	204.2792053	6.260161877	5024.608887	87.68349457	88.02862549	4855.778809	1.528471589	2.060932159	0.695822001
8/1/2004 2:45	7.702383518	93.46692657	200.3426056	385.0431519	379.3006287	40.78352737	43.35251999	42.34130859	60.90615845	131.5813599	181.6542969	198.5262604	200.9243469	203.9715729	6.057265282	4868.959961	87.22419739	87.59166718	4815.744141	1.511829019	2.04713273	0.695822001
8/1/2004 2:50	7.710636616	93.32607269	201.052887	384.9795532	379.4072266	40.50101089	42.98337173	42.14354706	60.24902725	131.8163452	181.7366791	198.6675415	201.4484253	204.0029602	6.16603899	4786.905762	86.81166077	87.1546936	4636.08252	1.495186687	2.033333302	0.55543685
8/1/2004 2:55	7.691641808	93.60270691	200.3475494	384.9602966	379.4914856	40.19232178	42.87921524	41.85350037	58.41852951	131.8574677	182.2788696	198.8087921	201.4484253	204.0343628	6.156682491	4706.685059	86.08145905	86.71772003	4614.654785	1.478544116	2.019533873	0.55543685
8/1/2004 3:00	7.5025177	93.84899902	200.457428	384.973114	379.5608215	39.99456024	42.81329727	41.65574265	56.35700607	129.9319458	181.9185181	198.4398346	201.4484253	204.0657501	5.812213421	4636.247559	86.70652771	86.28075409	4738.816895	1.457065344	2.009840727	0.439466536
8/1/2004 3:05	7.492892265	94.19049835	200.8782043	384.9859619	379.6301575	39.74175644	42.74737549	41.37492371	59.18729019	131.1859589	182.0650024	198.9039001	201.6329803	204.600708	5.951939583	4822.897949	86.72978973	85.42804718	4452.445801	1.432084322	2.003121138	0.381481379
8/1/2004 3:10	7.487747192	94.28205109	201.4187317	384.9987488	379.6994934	39.98895645	42.68145752	41.50529861	58.40052414	134.1615143	182.9908142	198.8259888	201.5946198	204.53479	6.103751183	4590.352539	83.48910522	84.56684875	4244.306641	1.4071033	1.996401429	0.381481379
8/1/2004 3:15	7.475253105	94.37361145	200.6705627	385.0115356	379.7491455	40.04773712	42.39503479	41.98138428	54.77920151	132.2937775	182.9908142	198.7061615	201.4747925	204.0061188	5.85188818	4424.007324	81.7623291	83.70565033	4580.196289	1.382122278	1.989681721	0.300763011
8/1/2004 3:20	7.492858887	94.46517181	200.2392426	385.0121155	379.7201233	39.82800674	42.36756897	42.00775528	54.66628265	129.628891	182.6348572	198.3320465	201.0253296	202.8063507	5.625721455	4481.970703	83.00614929	82.84445953	4762.251465	1.357141256	1.985529184	0.299081385
8/1/2004 3:25	7.485958576	94.55671692	200.8683167	385.0038147	379.69104	40.03015518	42.34009933	41.96820068	58.01507568	129.9298096	182.8545837	198.4144592	201.2051086	203.5446625	5.758964539	4557.193359	84.23222351	82.88097382	4331.702637	1.350158095	1.985565424	0.299081385
8/1/2004 3:30	7.475097179	94.5194397	200.921051	384.9954529	379.6620178	39.99851608	42.31263351	41.16397858	58.62171173	130.9658661	183.0830994	198.4968414	201.4246826	204.2104492	5.9213624	4838.751465	82.87711334	82.9358139	4213.522461	1.348251104	1.985601902	0.216681421
