Time,10f010.pv,10T0003.PV,10A100C3.PV
Time,DeC2FeedFlow.m,DeC2FeedTemp.m,% C3 IN C2 COMP
MM/dd/yy H:mm:ss,None,None,None
08/01/97 21:30:00,8.453108788,202.3712921,0.601214647
08/01/97 21:35:00,8.458022118,202.3712921,0.598315418
08/01/97 21:40:00,8.470259666,202.5866394,0.607839465
08/01/97 21:45:00,8.458724022,202.9262238,0.622577608
08/01/97 21:50:00,8.481833458,202.7464447,0.622577608
08/01/97 21:55:00,8.461913109,202.4635925,0.628757596
08/01/97 22:00:00,8.474702835,201.8161011,0.650044262
08/01/97 22:05:00,8.454964638,201.7428589,0.708029449
08/01/97 22:10:00,8.468962669,202.3211823,0.708029449
08/01/97 22:15:00,8.462813377,202.1893616,0.671407163
08/01/97 22:20:00,8.460165977,202.0575104,0.698324561
08/01/97 22:25:00,8.455016136,201.7205658,0.732008219
08/01/97 22:30:00,8.429792404,201.7676544,0.741599798
08/01/97 22:35:00,8.318156242,201.8147583,0.739441156
08/01/97 22:40:00,8.314134598,202.207077,0.736335397
08/01/97 22:45:00,8.306718826,202.027298,0.735496104
08/01/97 22:50:00,8.160728455,201.8475342,0.747703493
08/01/97 22:55:00,8.112307549,201.6818542,0.771355391
08/01/97 23:00:00,8.096590996,201.6430664,0.787377536
08/01/97 23:05:00,8.092061996,201.6042938,0.7449494
08/01/97 23:10:00,8.111933708,201.1451569,0.650502026
08/01/97 23:15:00,8.092330933,200.9254608,0.595110953
08/01/97 23:20:00,8.09540081,200.7859192,0.546281397
08/01/97 23:25:00,8.086619377,200.9507141,0.526350915
08/01/97 23:30:00,8.101358414,201.4582825,0.42420727
08/01/97 23:35:00,8.082575798,201.5132446,0.350962847
08/01/97 23:40:00,8.085739136,201.568161,0.350962847
08/01/97 23:45:00,8.088465691,200.9483643,0.309091479
08/01/97 23:50:00,8.088961601,200.9954376,0.308236957
08/01/97 23:55:00,8.087252617,201.0425415,0.314874738
08/02/97 0:00:00,8.086221695,201.4034271,0.317392528
08/02/97 0:05:00,8.105563164,201.3258667,0.284051031
08/02/97 0:10:00,8.092715263,201.2483215,0.251594603
08/02/97 0:15:00,8.085299492,200.8287659,0.258857995
08/02/97 0:20:00,8.095174789,200.9184113,0.256355494
08/02/97 0:25:00,8.089579582,201.0502472,0.256355494
08/02/97 0:30:00,8.076777458,201.5736542,0.256355494
08/02/97 0:35:00,8.083834648,202.2328491,0.247383043
